var_name;ref_name;comment
SUP_TYP1_NBR;-;
SUP_TYP2_NAT;-;
SUP_TYP2_NBR;-;
UM_ORD_NUM;-;
AUT_TYP_PGV;-;
COEFGEO;-;
COEFPRUD;-;
COEFTRANS;-;
FLAG_FIDES;-;
GHS50;-;
MNT_18;-;
MNT_9610_AM;-;
MNT_9615_AM;-;
MNT_9619_AM;-;
MNT_9620_AM;-;
MNT_9621_AM;-;
MNT_9622_AM;-;
MNT_9623_AM;-;
MNT_9625_AM;-;
MNT_9631_AM;-;
MNT_9632_AM;-;
MNT_9633_AM;-;
MNT_ANT_AM;-;
MNT_CAISSON_AM;-;
MNT_DIP_AM;-;
MNT_DMI;-;
MNT_EXH_AM;-;
MNT_EXINF_AM;-;
MNT_FJ2;-;
MNT_GHS_AM;-;
MNT_GHS50_AM;-;
MNT_IVG_AM;-;
MNT_MAJO;-;
MNT_MED_ATU;-;
MNT_MON;-;
MNT_NN1_AM;-;
MNT_NN2_AM;-;
MNT_NN3_AM;-;
MNT_PO1_AM;-;
MNT_PO2_AM;-;
MNT_PO3_AM;-;
MNT_PO4_AM;-;
MNT_PO5_AM;-;
MNT_PO6_AM;-;
MNT_PO7_AM;-;
MNT_PO8_AM;-;
MNT_PO9_AM;-;
MNT_POA_AM;-;
MNT_RAC;-;
MNT_RAP_AM;-;
MNT_REA_AM;-;
MNT_REP_AM;-;
MNT_SC_AM;-;
MNT_SI_AM;-;
MNT_SUPPENT1_AM;-;
MNT_SUPPENT2_AM;-;
MNT_SUPPENT3_AM;-;
MNT_SUPPHD_AM;-;
MNT_TOT_AM;-;
NB_9610;-;
NB_9615;-;
NB_9619;-;
NB_9620;-;
NB_9621;-;
NB_9622;-;
NB_9623;-;
NB_9625;-;
NB_9631;-;
NB_9632;-;
NB_9633;-;
NB_ANT;-;
NB_DIP;-;
NB_NN1;-;
NB_NN2;-;
NB_NN3;-;
NB_RAP;-;
NB_SRC2;-;
NB_STF2;-;
NBCAISSON;-;
NBEXB;-;
NBEXH;-;
NBJREA;-;
NBREP;-;
PONDER;-;
SEJXINF;-;
SUPPENT1;-;
SUPPENT2;-;
SUPPENT3;-;
SUPPHD;-;
TAUX2;-;
TYPORG;-;
TYPORG5;-;
TYPORG6;-;
TYPORG7;-;
TYPORG8;-;
TYPORG9;-;
TYPORGA;-;
VALO;-;
MNT_GHS_BR;-;
MNT_EXINF_BR;-;
MNT_GHS50_BR;-;
MNT_EXH_BR;-;
MNT_SUPPHD_BR;-;
MNT_SUPPENT1_BR;-;
MNT_SUPPENT2_BR;-;
MNT_SUPPENT3_BR;-;
MNT_DIP_BR;-;
MNT_PO1_BR;-;
MNT_PO2_BR;-;
MNT_PO3_BR;-;
MNT_PO4_BR;-;
MNT_PO5_BR;-;
MNT_PO6_BR;-;
MNT_PO7_BR;-;
MNT_PO8_BR;-;
MNT_PO9_BR;-;
MNT_POA_BR;-;
MNT_9610_BR;-;
MNT_9619_BR;-;
MNT_9620_BR;-;
MNT_9621_BR;-;
MNT_9622_BR;-;
MNT_9623_BR;-;
MNT_9625_BR;-;
MNT_9631_BR;-;
MNT_9632_BR;-;
MNT_9633_BR;-;
MNT_9615_BR;-;
MNT_REA_BR;-;
MNT_REP_BR;-;
MNT_SI_BR;-;
MNT_SC_BR;-;
MNT_NN1_BR;-;
MNT_NN2_BR;-;
MNT_NN3_BR;-;
MNT_CAISSON_BR;-;
MNT_RAP_BR;-;
MNT_ANT_BR;-;
NB_SDC;-;
MNT_SDC_BR;-;
MNT_SDC_AM;-;
MNT_IVG_BR;-;
MNT_TOT_BR;-;
COEFREP;-;
GHS_SUP_COD;-;
NBR_SUP;-;
ENT_DAT_RET;-;
IAS_RET;-;
SEQ_NUM;-;
RAC_MNT_PAT_RET;-;
NBR_REJET_AMO_RET;-;
